date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:41:28	9030/9030	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202024%2008:11:17%20GMT	https://birthday.mewtru.com/P1bKPZ	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/P1bKPZ.html	(from )
13:41:33	7735/7735	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2003%20Aug%202024%2008:11:26%20GMT	https://birthday.mewtru.com/robots.txt		(from )
13:41:35	17012/17012	---M--	200	added ('OK')	font/woff2	etag:%2280e55008a1c597e5caf735d73dd22125%22	https://birthday.mewtru.com/_next/static/media/41e7ce1ad66c1045-s.p.woff2	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/_next/static/media/41e7ce1ad66c1045-s.p.woff2	(from https://birthday.mewtru.com/P1bKPZ)
13:41:37	8584/8584	---M--	200	added ('OK')	font/woff2	etag:%223573ad0e84951b46a7fa54feda3727ef%22	https://birthday.mewtru.com/_next/static/media/86667d917ceb322f-s.p.woff2	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/_next/static/media/86667d917ceb322f-s.p.woff2	(from https://birthday.mewtru.com/P1bKPZ)
13:41:43	46552/46552	---M--	200	added ('OK')	font/woff2	etag:%2274c3556b9dad12fb76f84af53ba69410%22	https://birthday.mewtru.com/_next/static/media/c9a5bc6a7c948fb0-s.p.woff2	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/_next/static/media/c9a5bc6a7c948fb0-s.p.woff2	(from https://birthday.mewtru.com/P1bKPZ)
13:41:43	19113/19113	---MCZ	200	added ('OK')	text/css	etag:W/%2201a411a0ce6a307eb2493146954980c4%22	https://birthday.mewtru.com/_next/static/css/84d742d533d25ca5.css	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/_next/static/css/84d742d533d25ca5.css	(from https://birthday.mewtru.com/P1bKPZ)
13:41:53	3575/3575	---MCZ	200	added ('OK')	application/javascript	etag:W/%22aac0e21ae9d6c9aaafd1a88e32f4303d%22	https://birthday.mewtru.com/_next/static/chunks/webpack-5a945143ea9c401a.js	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/_next/static/chunks/webpack-5a945143ea9c401a.js	(from https://birthday.mewtru.com/P1bKPZ)
13:42:05	1358/1358	---MCZ	200	added ('OK')	application/javascript	etag:W/%228fa93124f7ac55ee2119cc5585dc9028%22	https://birthday.mewtru.com/_next/static/chunks/main-app-8c0524bc90ad5196.js	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/_next/static/chunks/main-app-8c0524bc90ad5196.js	(from https://birthday.mewtru.com/P1bKPZ)
13:42:06	104461/104461	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d82a7ac2d7254cdddb9b5e8b7f2d0bd4%22	https://birthday.mewtru.com/_next/static/chunks/938-0546ffa42667d2c5.js	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/_next/static/chunks/938-0546ffa42667d2c5.js	(from https://birthday.mewtru.com/P1bKPZ)
13:42:07	171902/171902	---MCZ	200	added ('OK')	application/javascript	etag:W/%22341bc12f15b80870bf037598311f6815%22	https://birthday.mewtru.com/_next/static/chunks/fd9d1056-d402c3289b63a580.js	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/_next/static/chunks/fd9d1056-d402c3289b63a580.js	(from https://birthday.mewtru.com/P1bKPZ)
13:42:07	3161/3161	---MCZ	200	added ('OK')	application/javascript	etag:W/%22641fcb1e0e27b1a898c789e9838656de%22	https://birthday.mewtru.com/_next/static/chunks/app/layout-1a20746b90e5fb17.js	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/_next/static/chunks/app/layout-1a20746b90e5fb17.js	(from https://birthday.mewtru.com/P1bKPZ)
13:42:07	111309/111309	---MCZ	200	added ('OK')	application/javascript	etag:W/%2274a6d057511dec6b5da310ffbc6eaf95%22	https://birthday.mewtru.com/_next/static/chunks/23-bebb5d51b11df2d7.js	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/_next/static/chunks/23-bebb5d51b11df2d7.js	(from https://birthday.mewtru.com/P1bKPZ)
13:42:08	7769/7769	---MCZ	200	added ('OK')	application/javascript	etag:W/%2232f14fcacc83e760053810286daca670%22	https://birthday.mewtru.com/_next/static/chunks/683-4a214a7b31e4bde6.js	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/_next/static/chunks/683-4a214a7b31e4bde6.js	(from https://birthday.mewtru.com/P1bKPZ)
13:42:08	209/209	---M--	200	added ('OK')	application/javascript	etag:%224442fada62275703dae5cf6faced33ba%22	https://birthday.mewtru.com/_next/static/chunks/app/%5Bslug%5D/page-102b0144b32c6354.js	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/_next/static/chunks/app/[slug]/page-102b0144b32c6354.js	(from https://birthday.mewtru.com/P1bKPZ)
13:42:08	25931/25931	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22c30c7d42707a47a3f4591831641e50dc%22	https://birthday.mewtru.com/favicon.ico	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/favicon.ico	(from https://birthday.mewtru.com/P1bKPZ)
13:42:08	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://birthday.mewtru.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://birthday.mewtru.com/P1bKPZ)
13:42:09	27316/27316	---M--	200	added ('OK')	font/woff2	etag:%220e89df9522084290e01e4127495fae99%22	https://birthday.mewtru.com/_next/static/media/ec159349637c90ad-s.woff2	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/_next/static/media/ec159349637c90ad-s.woff2	(from https://birthday.mewtru.com/_next/static/css/84d742d533d25ca5.css)
13:42:09	17612/17612	---M--	200	added ('OK')	font/woff2	etag:%22c4eb7f37bc4206c901ab08601f21f0f2%22	https://birthday.mewtru.com/_next/static/media/513657b02c5c193f-s.woff2	C:/Users/PC/Pictures/my%20web/ritie/birthday.mewtru.com/_next/static/media/513657b02c5c193f-s.woff2	(from https://birthday.mewtru.com/_next/static/css/84d742d533d25ca5.css)
